Gameid,Opp,Team,win,usg_eFG,usg_TRB,usg_TOV,usg_FT,usg_ORtg,usg_DRtg
1,Cleveland Cavaliers,Houston Rockets,1,53.24743675,21.33565323,26.98545949,31.99843847,20.86232473,-4.025950109
2,Detroit Pistons,New York Knicks,1,-6.575253763,68.74827599,42.42331993,3.107542607,-57.65271056,4.041293705
3,Indiana Pacers,Los Angeles Lakers,1,18.2517006,-41.00225448,50.38881408,9.028559785,44.38586575,7.072869728
4,Miami Heat,Sacramento Kings,1,8.673222222,46.085816,68.70104857,10.59900581,61.6991991,-11.08960798
5,Minnesota Timberwolves,Memphis Grizzlies,1,-2.324119396,20.65704302,49.63874839,22.39577147,69.9359475,-13.83907199
6,New Orleans Pelicans,Milwaukee Bucks,0,40.20223858,73.39012924,89.89391156,3.238270753,13.8779453,-1.866420204
7,Philadelphia 76ers,Orlando Magic,0,5.077292692,63.67647589,67.7999853,6.076501741,26.58714223,-1.361654619
8,Portland Trail Blazers,Golden State Warriors,0,97.04892395,42.51148642,-2.735739742,38.72492032,47.22373997,16.94650919
9,San Antonio Spurs,Utah Jazz,0,88.11808441,-13.49322036,86.63135011,29.6434997,-0.266277701,6.8254636
10,Atlanta Hawks,Los Angeles Lakers,0,106.0713222,93.25914583,72.17358001,-7.808410639,8.262634437,-0.027534159
11,Boston Celtics,Chicago Bulls,1,24.51254014,6.901487796,132.6039729,14.62237276,10.55265745,-12.05281308
12,Brooklyn Nets,Detroit Pistons,1,47.81261668,69.47083167,5.506344632,16.9376682,32.38909851,-5.875387163
13,Charlotte Hornets,Philadelphia 76ers,1,49.88684002,26.02582516,133.6339201,11.84870484,49.29123873,-42.6153122
14,Los Angeles Clippers,Oklahoma City Thunder,0,63.49693068,83.37184703,10.76167453,25.80047056,84.3479998,36.94462807
15,Memphis Grizzlies,New Orleans Pelicans,1,-5.057840529,22.20946558,71.31739695,-7.206115891,70.38881526,53.7736015
16,New York Knicks,Houston Rockets,0,47.05442633,134.3964095,48.54228439,0.937984411,11.00405423,25.22732602
17,Phoenix Suns,Portland Trail Blazers,1,37.52679544,143.1981044,95.5113355,-9.379747377,32.2649405,17.53680428
18,Utah Jazz,Dallas Mavericks,1,7.024018981,-8.722106111,49.8654905,25.53719399,83.16153295,-42.72176018
19,Washington Wizards,Toronto Raptors,0,70.66183893,130.9174112,45.38303709,33.93564062,16.72480329,-10.6463839
20,Cleveland Cavaliers,Boston Celtics,1,52.429922,115.3283356,-3.739041733,25.71078538,-47.95444844,-11.95941323
21,Golden State Warriors,Oklahoma City Thunder,1,20.87553008,-15.54951647,24.21719909,32.87352245,53.98071769,-0.652353163
22,Milwaukee Bucks,Indiana Pacers,1,43.548796,46.68782008,19.08787409,7.491812462,52.6696291,14.37461817
23,Minnesota Timberwolves,Denver Nuggets,0,86.63338537,-72.7999344,94.80811218,5.087800733,33.13643975,-9.876018589
24,Orlando Magic,Sacramento Kings,1,53.72623433,-61.18739328,70.00023489,14.42665004,49.28478425,-14.71138937
25,Brooklyn Nets,Charlotte Hornets,0,60.49986767,-6.986734613,-39.32678997,2.233114601,61.59597905,55.05961927
26,Chicago Bulls,New York Knicks,0,37.34824557,-28.94612994,-16.16504864,28.87668825,18.43679343,18.65903261
27,Dallas Mavericks,Portland Trail Blazers,0,50.68403163,-2.45073645,168.8075506,21.63635659,58.66534059,17.61919164
28,Los Angeles Lakers,Golden State Warriors,1,15.33847939,90.11360685,84.35163811,-5.247839994,38.3069023,-9.385611052
29,Memphis Grizzlies,Los Angeles Clippers,0,76.64655887,60.06997871,78.14936549,26.45702458,77.43431364,20.38949537
30,New Orleans Pelicans,Phoenix Suns,0,34.2572562,45.94106262,9.279979181,-1.447700663,41.07327044,16.32385261
31,Toronto Raptors,Miami Heat,1,-11.68549836,172.3934009,18.16082516,-1.14050974,30.72567656,6.115214747
32,Utah Jazz,San Antonio Spurs,0,55.52566182,3.150910991,16.14440303,23.9206344,21.18351489,24.72126622
33,Washington Wizards,Atlanta Hawks,1,51.06987916,97.00848098,10.93750834,40.09601156,111.0309215,55.84783527
34,Atlanta Hawks,Houston Rockets,1,43.61533877,20.56212812,64.9114768,0.060438575,27.32066173,-36.83700286
35,Detroit Pistons,Denver Nuggets,1,9.802401496,-19.56339179,45.68241212,15.85928483,57.28320382,-33.18961785
36,Indiana Pacers,Chicago Bulls,1,12.48144099,-39.76771959,24.78508648,67.76409385,22.51223865,1.124453317
