Starters,MP.x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Team,Opp,Winner,Gameid,win,times
Bobby Brown,04:40,0,2,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,-4,04:40,0,0,0.5,0,0,0,0,0,0,0,0,19,0,146,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,280
Clint Capela,18:31,3,5,0.6,0,0,,2,3,0.667,1,3,4,1,0,1,1,3,8,-11,18:31,0.633,0.6,0,0.6,5.8,23.6,13.3,7.4,0,5.1,13.7,17.6,119,136,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,1111
Corey Brewer,20:51,4,7,0.571,0,1,0,1,2,0.5,1,2,3,2,1,0,0,1,9,-17,20:51,0.571,0.571,0.143,0.286,5.1,14,8.9,13.6,2.5,0,0,16.8,131,136,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,1251
Eric Gordon,32:59:00,6,13,0.462,4,9,0.444,0,0,,0,2,2,3,2,0,2,5,16,-12,32:59:00,0.615,0.615,0.692,0,0,8.8,3.7,12.7,3.1,0,13.3,20.2,109,136,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,1979
James Harden,38:10:00,13,20,0.65,5,9,0.556,10,14,0.714,1,6,7,15,1,0,1,3,41,10,38:10:00,0.784,0.775,0.45,0.7,2.8,22.9,11.3,70.8,1.4,0,3.7,31.6,168,136,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,2290
K.J. McDaniels,19:42,2,7,0.286,0,3,0,0,0,,0,1,1,0,1,0,0,2,4,-5,19:42,0.286,0.286,0.429,0,0,7.4,3.1,0,2.6,0,0,15.8,61,137,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,1182
Nene Hilario,24:49:00,4,4,1,1,1,1,4,6,0.667,3,2,5,4,0,1,2,3,13,7,24:49:00,0.979,1.125,0.25,1.5,12.9,11.7,12.4,21.9,0,3.8,23.1,15.5,160,140,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,1489
Ryan Anderson,30:31:00,4,12,0.333,4,7,0.571,0,0,,3,1,4,1,0,0,0,3,12,-1,30:31:00,0.5,0.5,0.583,0,10.5,4.8,8.1,4.3,0,0,0,17.5,118,144,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,1831
Sam Dekker,14:00,3,8,0.375,0,3,0,0,0,,1,2,3,1,0,0,0,1,6,7,14:00,0.375,0.375,0.375,0,7.6,20.8,13.2,10.5,0,0,0,25.4,93,140,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,840
Trevor Ariza,31:29:00,4,11,0.364,3,10,0.3,0,0,,0,1,1,2,0,0,1,3,11,-11,31:29:00,0.5,0.5,0.909,0,0,4.6,2,8.3,0,0,8.3,16.9,98,145,Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers,1,1,1889
